procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 60600068   2088 1829288    0    0    86    62  113  122  2  0 97  0  1 2021-07-24 04:36:43
 0  0      0 60600060   2088 1829292    0    0     0     0  498  860  0  0 100  0  0 2021-07-24 04:36:44
 0  0      0 60600060   2088 1829292    0    0     0     0  480  852  0  0 100  0  0 2021-07-24 04:36:45
 0  0      0 60600060   2088 1829292    0    0     0     0  479  842  0  0 100  0  0 2021-07-24 04:36:46
 0  0      0 60600060   2088 1829292    0    0     0     0  494  869  0  0 100  0  0 2021-07-24 04:36:47
 0  0      0 60600060   2088 1829292    0    0     0     0  488  860  0  0 100  0  0 2021-07-24 04:36:48
 0  0      0 60600060   2088 1829292    0    0     0     0  486  857  0  0 100  0  0 2021-07-24 04:36:49
 0  0      0 60600060   2088 1829292    0    0     0     0  514  900  0  0 100  0  0 2021-07-24 04:36:50
 0  0      0 60600060   2088 1829292    0    0     0     0  491  863  0  0 100  0  0 2021-07-24 04:36:51
 0  0      0 60600060   2088 1829292    0    0     0     0  471  832  0  0 100  0  0 2021-07-24 04:36:52
 0  0      0 60600060   2088 1829292    0    0     0     0  813  836  0  0 100  0  0 2021-07-24 04:36:53
 0  0      0 60600060   2088 1829292    0    0     0     0  491  877  0  0 100  0  0 2021-07-24 04:36:54
 0  0      0 60600060   2088 1829292    0    0     0     0  508  878  0  0 100  0  0 2021-07-24 04:36:55
 0  0      0 60600060   2088 1829292    0    0     0     0  485  859  0  0 100  0  0 2021-07-24 04:36:56
 0  0      0 60600060   2088 1829292    0    0     0     0  492  861  0  0 100  0  0 2021-07-24 04:36:57
 0  0      0 60600060   2088 1829292    0    0     0     0  515  906  0  0 100  0  0 2021-07-24 04:36:58
 0  0      0 60600060   2088 1829292    0    0     0     0  493  869  0  0 100  0  0 2021-07-24 04:36:59
 0  0      0 60600060   2088 1829292    0    0     0     0  539  924  0  0 100  0  0 2021-07-24 04:37:00
 0  0      0 60598572   2088 1829292    0    0     0     0 1006 1367  0  0 100  0  0 2021-07-24 04:37:01
 0  0      0 60600308   2088 1829292    0    0     0     0  547  903  0  0 100  0  0 2021-07-24 04:37:02
 0  0      0 60600308   2088 1829292    0    0     0     0  543  911  0  0 100  0  0 2021-07-24 04:37:03
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 60600308   2088 1829292    0    0     0     0  485  859  0  0 100  0  0 2021-07-24 04:37:04
 0  0      0 60600308   2088 1829292    0    0     0     0  482  859  0  0 100  0  0 2021-07-24 04:37:05
 0  0      0 60600308   2088 1829292    0    0     0     0  504  892  0  0 100  0  0 2021-07-24 04:37:06
 0  0      0 60600308   2088 1829292    0    0     0     0  509  890  0  0 100  0  0 2021-07-24 04:37:07
 0  0      0 60600308   2088 1829292    0    0     0     0  499  880  0  0 100  0  0 2021-07-24 04:37:08
 0  0      0 60600308   2088 1829292    0    0     0     0 1035 1106  0  0 100  0  0 2021-07-24 04:37:09
 0  0      0 60600308   2088 1829292    0    0     0     0  521  902  0  0 100  0  0 2021-07-24 04:37:10
 0  0      0 60600308   2088 1829292    0    0     0    39  501  885  0  0 100  0  0 2021-07-24 04:37:11
 0  0      0 60600308   2088 1829292    0    0     0     1  505  896  0  0 100  0  0 2021-07-24 04:37:12
 0  0      0 60600308   2088 1829292    0    0     0     0  484  865  0  0 100  0  0 2021-07-24 04:37:13
 0  0      0 60600308   2088 1829292    0    0     0     4  480  853  0  0 100  0  0 2021-07-24 04:37:14
 0  0      0 60600308   2088 1829292    0    0     0     0  493  874  0  0 100  0  0 2021-07-24 04:37:15
 0  0      0 60600308   2088 1829292    0    0     0     0  454  805  0  0 100  0  0 2021-07-24 04:37:16
 0  0      0 60600308   2088 1829292    0    0     0     0  488  865  0  0 100  0  0 2021-07-24 04:37:17
 0  0      0 60600308   2088 1829292    0    0     0     0  519  906  0  0 100  0  0 2021-07-24 04:37:18
 0  0      0 60600308   2088 1829296    0    0     0     0  487  881  0  0 100  0  0 2021-07-24 04:37:19
 0  0      0 60600308   2088 1829296    0    0     0     0  488  866  0  0 100  0  0 2021-07-24 04:37:20
 0  0      0 60600308   2088 1829296    0    0     0     0  493  883  0  0 100  0  0 2021-07-24 04:37:21
 0  0      0 60600308   2088 1829296    0    0     0     0  462  822  0  0 100  0  0 2021-07-24 04:37:22
 0  0      0 60600308   2088 1829296    0    0     0     0  487  858  0  0 100  0  0 2021-07-24 04:37:23
 0  0      0 60600308   2088 1829296    0    0     0     0  479  843  0  0 100  0  0 2021-07-24 04:37:24
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 60600308   2088 1829296    0    0     0     0  835  881  0  0 100  0  0 2021-07-24 04:37:25
 0  0      0 60600308   2088 1829296    0    0     0     0  502  886  0  0 100  0  0 2021-07-24 04:37:26
 0  0      0 60600308   2088 1829296    0    0     0     0  445  801  0  0 100  0  0 2021-07-24 04:37:27
 0  0      0 60599412   2088 1829296    0    0     0     0  784 1176  0  0 100  0  0 2021-07-24 04:37:28
 0  0      0 60599184   2088 1829312    0    0     0     0  526  917  0  0 100  0  0 2021-07-24 04:37:29
 0  0      0 60599184   2088 1829312    0    0     0     0  517  929  0  0 100  0  0 2021-07-24 04:37:30
 0  0      0 60599184   2088 1829312    0    0     0     0  471  854  0  0 100  0  0 2021-07-24 04:37:31
 0  0      0 60599184   2088 1829312    0    0     0     0  495  878  0  0 100  0  0 2021-07-24 04:37:32
 0  0      0 60599184   2088 1829312    0    0     0     0  522  923  0  0 100  0  0 2021-07-24 04:37:33
 0  0      0 60599184   2088 1829316    0    0     0     0  526  932  0  0 100  0  0 2021-07-24 04:37:34
 0  0      0 60599008   2088 1829316    0    0     0   232  565  950  0  0 100  0  0 2021-07-24 04:37:35
 0  0      0 60599176   2088 1829316    0    0     0     0  914  964  0  0 100  0  0 2021-07-24 04:37:36
 0  0      0 60599176   2088 1829316    0    0     0     0  980 1471  0  0 100  0  0 2021-07-24 04:37:37
 0  0      0 60599176   2088 1829316    0    0     0     0  545  957  0  0 100  0  0 2021-07-24 04:37:38
 0  0      0 60599176   2088 1829316    0    0     0     0  511  915  0  0 100  0  0 2021-07-24 04:37:39
 0  0      0 60599176   2088 1829316    0    0     0     0  512  920  0  0 100  0  0 2021-07-24 04:37:40
 0  0      0 60599176   2088 1829316    0    0     0     0  862  931  0  0 100  0  0 2021-07-24 04:37:41
 0  0      0 60599176   2088 1829316    0    0     0    23  526  930  0  0 100  0  0 2021-07-24 04:37:42
 0  0      0 60599176   2088 1829316    0    0     0     0  511  905  0  0 100  0  0 2021-07-24 04:37:43
 0  0      0 60599176   2088 1829316    0    0     0     0  500  892  0  0 100  0  0 2021-07-24 04:37:44
 0  0      0 60599176   2088 1829316    0    0     0     8  510  907  0  0 100  0  0 2021-07-24 04:37:45
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 60599176   2088 1829316    0    0     0     0  499  881  0  0 100  0  0 2021-07-24 04:37:46
 0  0      0 60599176   2088 1829316    0    0     0     0  516  910  0  0 100  0  0 2021-07-24 04:37:47
 0  0      0 60599176   2088 1829316    0    0     0     0  510  902  0  0 100  0  0 2021-07-24 04:37:48
 0  0      0 60599176   2088 1829316    0    0     0     0  504  897  0  0 100  0  0 2021-07-24 04:37:49
 0  0      0 60599176   2088 1829316    0    0     0     0  510  914  0  0 100  0  0 2021-07-24 04:37:50
 0  0      0 60599176   2088 1829316    0    0     0     0  509  903  0  0 100  0  0 2021-07-24 04:37:51
 0  0      0 60599176   2088 1829316    0    0     0     0  495  879  0  0 100  0  0 2021-07-24 04:37:52
 0  0      0 60599176   2088 1829316    0    0     0     0  528  932  0  0 100  0  0 2021-07-24 04:37:53
 0  0      0 60599176   2088 1829316    0    0     0     0  506  894  0  0 100  0  0 2021-07-24 04:37:54
 0  0      0 60599176   2088 1829320    0    0     0     0  512  912  0  0 100  0  0 2021-07-24 04:37:55
 0  0      0 60599176   2088 1829320    0    0     0     0  499  891  0  0 100  0  0 2021-07-24 04:37:56
 0  0      0 60599176   2088 1829320    0    0     0     0  822  868  0  0 100  0  0 2021-07-24 04:37:57
 0  0      0 60599260   2088 1829320    0    0     0     0 1188 1597  0  0 100  0  0 2021-07-24 04:37:58
 0  0      0 60599176   2088 1829320    0    0     0     0  506  898  0  0 100  0  0 2021-07-24 04:37:59
 0  0      0 60599176   2088 1829320    0    0     0    16  529  909  0  0 100  0  0 2021-07-24 04:38:00
 0  0      0 60599176   2088 1829320    0    0     0     0  521  927  0  0 100  0  0 2021-07-24 04:38:01
 0  0      0 60599176   2088 1829320    0    0     0     0  513  905  0  0 100  0  0 2021-07-24 04:38:02
 0  0      0 60599176   2088 1829320    0    0     0     0  519  928  0  0 100  0  0 2021-07-24 04:38:03
 0  0      0 60599176   2088 1829320    0    0     0     0  504  897  0  0 100  0  0 2021-07-24 04:38:04
 0  0      0 60599176   2088 1829320    0    0     0     4  513  914  0  0 100  0  0 2021-07-24 04:38:05
 0  0      0 60599176   2088 1829320    0    0     0     0  504  889  0  0 100  0  0 2021-07-24 04:38:06
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 60599176   2088 1829320    0    0     0     0  525  928  0  0 100  0  0 2021-07-24 04:38:07
 0  0      0 60599176   2088 1829320    0    0     0     0  499  893  0  0 100  0  0 2021-07-24 04:38:08
 0  0      0 60599176   2088 1829320    0    0     0     0  521  907  0  0 100  0  0 2021-07-24 04:38:09
 0  0      0 60599176   2088 1829320    0    0     0     0  523  925  0  0 100  0  0 2021-07-24 04:38:10
 0  0      0 60599176   2088 1829320    0    0     0     0  505  895  0  0 100  0  0 2021-07-24 04:38:11
 0  0      0 60599176   2088 1829320    0    0     0     0  503  920  0  0 100  0  0 2021-07-24 04:38:12
 0  0      0 60599176   2088 1829320    0    0     0    75  864  945  0  0 100  0  0 2021-07-24 04:38:13
 0  0      0 60599176   2088 1829320    0    0     0     0  518  921  0  0 100  0  0 2021-07-24 04:38:14
 0  0      0 60599176   2088 1829320    0    0     0     0  503  897  0  0 100  0  0 2021-07-24 04:38:15
 0  0      0 60599176   2088 1829320    0    0     0     8  503  897  0  0 100  0  0 2021-07-24 04:38:16
 0  0      0 60599176   2088 1829320    0    0     0     0  484  851  0  0 100  0  0 2021-07-24 04:38:17
 0  0      0 60599052   2088 1829324    0    0     0     0  541  949  0  0 100  0  0 2021-07-24 04:38:18
 0  0      0 60599052   2088 1829324    0    0     0     0  518  920  0  0 100  0  0 2021-07-24 04:38:19
 0  0      0 60599052   2088 1829324    0    0     0     0  515  916  0  0 100  0  0 2021-07-24 04:38:20
 0  0      0 60599052   2088 1829324    0    0     0     0  508  908  0  0 100  0  0 2021-07-24 04:38:21
 0  0      0 60599052   2088 1829324    0    0     0     0  506  899  0  0 100  0  0 2021-07-24 04:38:22
 0  0      0 60599052   2088 1829324    0    0     0     0  482  883  0  0 100  0  0 2021-07-24 04:38:23
 0  0      0 60599052   2088 1829324    0    0     0     0  523  933  0  0 100  0  0 2021-07-24 04:38:24
 0  0      0 60599052   2088 1829324    0    0     0     0  512  920  0  0 100  0  0 2021-07-24 04:38:25
 0  0      0 60599052   2088 1829324    0    0     0     0  478  867  0  0 100  0  0 2021-07-24 04:38:26
 0  0      0 60599052   2088 1829324    0    0     0     0  517  919  0  0 100  0  0 2021-07-24 04:38:27
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 60599052   2088 1829324    0    0     0     0  517  919  0  0 100  0  0 2021-07-24 04:38:28
 0  0      0 60599052   2088 1829328    0    0     0     0  857  921  0  0 100  0  0 2021-07-24 04:38:29
 0  0      0 60599052   2088 1829328    0    0     0     0  517  921  0  0 100  0  0 2021-07-24 04:38:30
 0  0      0 60599052   2088 1829328    0    0     0    88  526  916  0  0 100  0  0 2021-07-24 04:38:31
 0  0      0 60599148   2088 1829328    0    0     0     0  515  909  0  0 100  0  0 2021-07-24 04:38:32
 0  0      0 60599148   2088 1829328    0    0     0     0  508  900  0  0 100  0  0 2021-07-24 04:38:33
 0  0      0 60599148   2088 1829328    0    0     0     0  546  941  0  0 100  0  0 2021-07-24 04:38:34
 0  0      0 60599148   2088 1829328    0    0     0     0  587  978  0  0 100  0  0 2021-07-24 04:38:35
 0  0      0 60599148   2088 1829328    0    0     0     8  855  932  0  0 100  0  0 2021-07-24 04:38:36
 0  0      0 60599148   2088 1829328    0    0     0     0  902  993  0  0 100  0  0 2021-07-24 04:38:37
 0  0      0 60598968   2088 1829344    0    0     0     0  984 1094  0  0 100  0  0 2021-07-24 04:38:38
 0  0      0 60598976   2088 1829344    0    0     0     0  496  884  0  0 100  0  0 2021-07-24 04:38:39
 0  0      0 60598976   2088 1829344    0    0     0     0  857  924  0  0 100  0  0 2021-07-24 04:38:40
 0  0      0 60598976   2088 1829344    0    0     0     0  514  912  0  0 100  0  0 2021-07-24 04:38:41
 0  0      0 60598976   2088 1829344    0    0     0     0  495  878  0  0 100  0  0 2021-07-24 04:38:42
 1  0      0 60598852   2088 1829348    0    0     0     0  505  882  0  0 100  0  0 2021-07-24 04:38:43
 0  0      0 60596352   2088 1829348    0    0     0    94 1048 1293  0  0 99  0  0 2021-07-24 04:38:44
 0  0      0 60597620   2088 1829364    0    0     0   210  545  942  0  0 100  0  0 2021-07-24 04:38:45
 0  0      0 60597620   2088 1829368    0    0     0     0  819  867  0  0 100  0  0 2021-07-24 04:38:46
 0  0      0 60597620   2088 1829368    0    0     0     0  517  942  0  0 100  0  0 2021-07-24 04:38:47
 0  0      0 60597620   2088 1829368    0    0     0     0  521  920  0  0 100  0  0 2021-07-24 04:38:48
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
