procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 59340916   2088 2330120    0    0    62    33  146  148  6  1 93  0  0 2021-07-24 05:13:53
 0  0      0 59340668   2088 2330128    0    0     0     0  471  807  0  0 100  0  0 2021-07-24 05:13:54
 0  0      0 59340668   2088 2330128    0    0     0     0  431  764  0  0 100  0  0 2021-07-24 05:13:55
 0  0      0 59340668   2088 2330128    0    0     0     0  477  841  0  0 100  0  0 2021-07-24 05:13:56
 0  0      0 59340668   2088 2330128    0    0     0     0  462  806  0  0 100  0  0 2021-07-24 05:13:57
 0  0      0 59340668   2088 2330128    0    0     0     0  481  840  0  0 100  0  0 2021-07-24 05:13:58
 0  0      0 59340668   2088 2330128    0    0     0     0  467  820  0  0 100  0  0 2021-07-24 05:13:59
 0  0      0 59339772   2088 2330128    0    0     0     0  722 1055  0  0 100  0  0 2021-07-24 05:14:00
 0  0      0 59339668   2088 2330140    0    0     0     0  512  889  0  0 100  0  0 2021-07-24 05:14:01
 0  0      0 59339668   2088 2330140    0    0     0     0  486  863  0  0 100  0  0 2021-07-24 05:14:02
 0  0      0 59339668   2088 2330140    0    0     0    93  874  938  0  0 100  0  0 2021-07-24 05:14:03
 0  0      0 59339668   2088 2330140    0    0     0     0  483  841  0  0 100  0  0 2021-07-24 05:14:04
 0  0      0 59339668   2088 2330140    0    0     0     0  494  870  0  0 100  0  0 2021-07-24 05:14:05
 0  0      0 59339668   2088 2330140    0    0     0     0  527  939  0  0 100  0  0 2021-07-24 05:14:06
 0  0      0 59339668   2088 2330140    0    0     0     0  506  908  0  0 100  0  0 2021-07-24 05:14:07
 0  0      0 59339668   2088 2330140    0    0     0     0  512  905  0  0 100  0  0 2021-07-24 05:14:08
 0  0      0 59339668   2088 2330140    0    0     0     0  532  928  0  0 100  0  0 2021-07-24 05:14:09
 0  0      0 59339668   2088 2330140    0    0     0     0  641 1042  0  0 100  0  0 2021-07-24 05:14:10
 0  0      0 59339668   2088 2330140    0    0     0     0  587  997  0  0 100  0  0 2021-07-24 05:14:11
 0  0      0 59339288   2088 2330140    0    0     0     0  842 1303  0  0 100  0  0 2021-07-24 05:14:12
 0  0      0 59339288   2088 2330140    0    0     0     0  490  874  0  0 100  0  0 2021-07-24 05:14:13
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 59339412   2088 2330140    0    0     0     0  508  902  0  0 100  0  0 2021-07-24 05:14:14
 0  0      0 59339420   2088 2330140    0    0     0     0  502  887  0  0 100  0  0 2021-07-24 05:14:15
 0  0      0 59339420   2088 2330140    0    0     0     0  850  905  0  0 100  0  0 2021-07-24 05:14:16
 0  0      0 59339420   2088 2330140    0    0     0     0  481  858  0  0 100  0  0 2021-07-24 05:14:17
 0  0      0 59339420   2088 2330140    0    0     0     0  532  938  0  0 100  0  0 2021-07-24 05:14:18
 0  0      0 59339412   2088 2330140    0    0     0   172  509  883  0  0 100  0  0 2021-07-24 05:14:19
 0  0      0 59339412   2088 2330140    0    0     0     0  841  909  0  0 100  0  0 2021-07-24 05:14:20
 0  0      0 59339412   2088 2330140    0    0     0     0  512  909  0  0 100  0  0 2021-07-24 05:14:21
 0  0      0 59339412   2088 2330140    0    0     0     0  507  902  0  0 100  0  0 2021-07-24 05:14:22
 0  0      0 59339412   2088 2330140    0    0     0     0  511  905  0  0 100  0  0 2021-07-24 05:14:23
 0  0      0 59339412   2088 2330140    0    0     0     4  482  850  0  0 100  0  0 2021-07-24 05:14:24
 0  0      0 59339412   2088 2330140    0    0     0     0  512  912  0  0 100  0  0 2021-07-24 05:14:25
 0  0      0 59339412   2088 2330140    0    0     0     0  521  918  0  0 100  0  0 2021-07-24 05:14:26
 0  0      0 59339412   2088 2330140    0    0     0     0  500  885  0  0 100  0  0 2021-07-24 05:14:27
 0  0      0 59339412   2088 2330140    0    0     0     0  533  941  0  0 100  0  0 2021-07-24 05:14:28
 0  0      0 59339412   2088 2330144    0    0     0     0  520  922  0  0 100  0  0 2021-07-24 05:14:29
 8  0      0 59282496   2088 2330148    0    0     0     0 1886 1304  9  6 85  0  0 2021-07-24 05:14:30
 1  0      0 59163292   2088 2330156    0    0     0     0 2097 1329 17  8 76  0  0 2021-07-24 05:14:31
 1  0      0 58879736   2088 2340412    0    0     0     0 2424 2366  5  2 93  0  0 2021-07-24 05:14:32
 1  0      0 58163684   2088 2340412    0    0     0     0  782  939  9  4 87  0  0 2021-07-24 05:14:33
 1  0      0 57555776   2088 2340412    0    0     0    82  803  978  9  4 87  0  0 2021-07-24 05:14:34
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 56866980   2088 2340412    0    0     0     0  850  983  9  4 87  0  0 2021-07-24 05:14:35
 1  0      0 56603680   2088 2380104    0    0     0     0 6091 2500 15  3 82  0  0 2021-07-24 05:14:36
 1  0      0 56553312   2088 2380140    0    0     0     0 1516 1537 17  1 82  0  0 2021-07-24 05:14:37
 4  0      0 56465024   2088 2460544    0    0     0     0 2303 2149 22  1 77  0  0 2021-07-24 05:14:38
 1  0      0 56387972   2088 2535984    0    0     0     0 1954 1799 20  2 79  0  0 2021-07-24 05:14:39
 1  0      0 56399012   2088 2535984    0    0     0     0 1880 1807 18  2 80  0  0 2021-07-24 05:14:40
 2  0      0 56399432   2088 2535984    0    0     0     0 2746 2406 27  2 71  0  0 2021-07-24 05:14:41
 2  0      0 56397904   2088 2535984    0    0     0     0 2506 2044 24  4 72  0  0 2021-07-24 05:14:42
 3  0      0 56397780   2088 2535984    0    0     0     0 2201 2045 22  1 76  0  0 2021-07-24 05:14:43
 4  0      0 56398288   2088 2535984    0    0     0     0 2399 2106 23  2 75  0  0 2021-07-24 05:14:44
 1  0      0 56398044   2088 2535996    0    0     0     0 2583 2359 25  1 74  0  0 2021-07-24 05:14:45
 1  0      0 56397924   2088 2535996    0    0     0     0 2480 2170 25  2 73  0  0 2021-07-24 05:14:46
 2  0      0 56369284   2088 2535996    0    0     0     0 2040 1841 21  2 77  0  0 2021-07-24 05:14:47
 4  0      0 56368672   2088 2535996    0    0     0     0 2849 2451 28  1 71  0  0 2021-07-24 05:14:48
 1  0      0 56351064   2088 2535996    0    0     0     0 2344 2139 24  1 75  0  0 2021-07-24 05:14:49
 2  0      0 56350812   2088 2535996    0    0     0     0 2480 2212 25  2 73  0  0 2021-07-24 05:14:50
 1  0      0 56363836   2088 2536004    0    0     0     0 1761 1775 18  1 81  0  0 2021-07-24 05:14:51
 1  0      0 56346476   2088 2536004    0    0     0     0 2164 1772 19  1 80  0  0 2021-07-24 05:14:52
 2  0      0 56345732   2088 2536004    0    0     0     0 1779 1552 19  4 77  0  0 2021-07-24 05:14:53
 4  0      0 56345612   2088 2536008    0    0     0     0 1942 1615 21  4 76  0  0 2021-07-24 05:14:54
 1  0      0 56345864   2088 2536008    0    0     0     8 2070 2031 20  1 79  0  0 2021-07-24 05:14:55
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 56395220   2088 2536008    0    0     0     0 2006 1831 21  1 78  0  0 2021-07-24 05:14:56
 4  0      0 56394728   2088 2536008    0    0     0     0 2631 2353 26  1 72  0  0 2021-07-24 05:14:57
 2  0      0 56395104   2088 2536008    0    0     0     0 2607 2185 25  4 71  0  0 2021-07-24 05:14:58
 4  0      0 56379236   2088 2536008    0    0     0     0 2048 1899 21  2 78  0  0 2021-07-24 05:14:59
 1  0      0 56378868   2088 2536016    0    0     0     0 2547 2219 24  3 74  0  0 2021-07-24 05:15:00
 4  0      0 56378504   2088 2536016    0    0     0     0 2480 2224 25  1 74  0  0 2021-07-24 05:15:01
 4  0      0 56378508   2088 2536016    0    0     0     0 2541 2138 26  2 72  0  0 2021-07-24 05:15:02
 1  0      0 56394620   2088 2536016    0    0     0     0 2151 1916 22  2 76  0  0 2021-07-24 05:15:03
 1  0      0 56395128   2088 2536016    0    0    16    99 2751 2437 26  2 73  0  0 2021-07-24 05:15:04
 1  0      0 56379388   2088 2536020    0    0     0     0 2528 2252 26  1 73  0  0 2021-07-24 05:15:05
 4  0      0 56362152   2088 2536028    0    0     0     0 2226 2102 23  1 77  0  0 2021-07-24 05:15:06
 1  0      0 56394660   2088 2536028    0    0     0     0 1821 1787 18  1 81  0  0 2021-07-24 05:15:07
 1  0      0 56346528   2088 2536028    0    0     0     0 2257 1800 21  1 78  0  0 2021-07-24 05:15:08
 1  0      0 56345908   2088 2536028    0    0     0     0 1998 1855 21  1 78  0  0 2021-07-24 05:15:09
 1  0      0 56345668   2088 2536028    0    0     0    28 2519 2286 24  1 75  0  0 2021-07-24 05:15:10
 1  0      0 56394836   2088 2536028    0    0     0     0 1413 1460 17  0 83  0  0 2021-07-24 05:15:11
 1  0      0 56379032   2088 2536028    0    0     0     0 2707 2318 25  3 72  0  0 2021-07-24 05:15:12
 1  0      0 56378244   2088 2536028    0    0     0     0 2701 2272 26  3 71  0  0 2021-07-24 05:15:13
