,ephoch-labels,timestamps,deltas,delta-seconds
0,start,2021-07-24 05:05:03+00:00,0 days 00:00:00,0
1,ephoch-1,2021-07-24 05:05:03+00:00,0 days 00:00:02,2
2,ephoch-2,2021-07-24 05:05:05+00:00,0 days 00:00:57,57
3,ephoch-3,2021-07-24 05:06:00+00:00,0 days 00:00:57,57
4,ephoch-4,2021-07-24 05:06:02+00:00,0 days 00:00:03,3
5,ephoch-5,2021-07-24 05:06:03+00:00,0 days 00:00:03,3
6,ephoch-6,2021-07-24 05:06:05+00:00,0 days 00:00:58,58
7,ephoch-7,2021-07-24 05:07:01+00:00,0 days 00:00:57,57
8,ephoch-8,2021-07-24 05:07:02+00:00,0 days 00:00:03,3
9,ephoch-9,2021-07-24 05:07:04+00:00,0 days 00:00:03,3
10,ephoch-10,2021-07-24 05:07:05+00:00,0 days 00:00:57,57
11,ephoch-11,2021-07-24 05:08:01+00:00,0 days 00:00:57,57
12,ephoch-12,2021-07-24 05:08:02+00:00,0 days 00:00:03,3
13,ephoch-13,2021-07-24 05:08:04+00:00,0 days 00:00:03,3
14,ephoch-14,2021-07-24 05:08:05+00:00,0 days 00:00:57,57
15,ephoch-15,2021-07-24 05:09:01+00:00,0 days 00:00:58,58
16,ephoch-16,2021-07-24 05:09:03+00:00,0 days 00:00:03,3
17,ephoch-17,2021-07-24 05:09:04+00:00,0 days 00:00:57,57
18,ephoch-18,2021-07-24 05:10:00+00:00,0 days 00:00:57,57
19,ephoch-19,2021-07-24 05:10:01+00:00,0 days 00:00:03,3
20,ephoch-20,2021-07-24 05:10:03+00:00,0 days 00:00:03,3
