,ephoch-labels,timestamps,deltas,delta-seconds
0,start,2021-07-24 07:09:01+00:00,0 days 00:00:00,0
1,ephoch-1,2021-07-24 07:09:01+00:00,0 days 00:00:02,2
2,ephoch-2,2021-07-24 07:09:03+00:00,0 days 00:00:03,3
3,ephoch-3,2021-07-24 07:09:04+00:00,0 days 00:00:57,57
4,ephoch-4,2021-07-24 07:10:00+00:00,0 days 00:00:57,57
5,ephoch-5,2021-07-24 07:10:01+00:00,0 days 00:00:03,3
6,ephoch-6,2021-07-24 07:10:03+00:00,0 days 00:00:04,4
7,ephoch-7,2021-07-24 07:10:05+00:00,0 days 00:00:57,57
8,ephoch-8,2021-07-24 07:11:00+00:00,0 days 00:00:57,57
9,ephoch-9,2021-07-24 07:11:02+00:00,0 days 00:00:03,3
10,ephoch-10,2021-07-24 07:11:03+00:00,0 days 00:00:03,3
11,ephoch-11,2021-07-24 07:11:05+00:00,0 days 00:00:58,58
12,ephoch-12,2021-07-24 07:12:01+00:00,0 days 00:00:57,57
13,ephoch-13,2021-07-24 07:12:02+00:00,0 days 00:00:03,3
14,ephoch-14,2021-07-24 07:12:04+00:00,0 days 00:00:03,3
15,ephoch-15,2021-07-24 07:12:05+00:00,0 days 00:00:57,57
16,ephoch-16,2021-07-24 07:13:01+00:00,0 days 00:00:57,57
17,ephoch-17,2021-07-24 07:13:02+00:00,0 days 00:00:03,3
18,ephoch-18,2021-07-24 07:13:04+00:00,0 days 00:00:58,58
19,ephoch-19,2021-07-24 07:14:00+00:00,0 days 00:00:57,57
20,ephoch-20,2021-07-24 07:14:01+00:00,0 days 00:00:03,3
