,ephoch-labels,timestamps,deltas,delta-seconds
0,start,2021-07-24 04:38:05+00:00,0 days 00:00:00,0
1,ephoch-1,2021-07-24 04:39:00+00:00,0 days 00:00:57,57
2,ephoch-2,2021-07-24 04:39:02+00:00,0 days 00:00:03,3
3,ephoch-3,2021-07-24 04:39:03+00:00,0 days 00:00:03,3
4,ephoch-4,2021-07-24 04:39:05+00:00,0 days 00:00:57,57
5,ephoch-5,2021-07-24 04:40:00+00:00,0 days 00:00:57,57
6,ephoch-6,2021-07-24 04:40:02+00:00,0 days 00:00:04,4
7,ephoch-7,2021-07-24 04:40:04+00:00,0 days 00:00:03,3
8,ephoch-8,2021-07-24 04:40:05+00:00,0 days 00:00:57,57
9,ephoch-9,2021-07-24 04:41:01+00:00,0 days 00:00:57,57
10,ephoch-10,2021-07-24 04:41:02+00:00,0 days 00:00:03,3
11,ephoch-11,2021-07-24 04:41:04+00:00,0 days 00:00:03,3
12,ephoch-12,2021-07-24 04:41:05+00:00,0 days 00:00:57,57
13,ephoch-13,2021-07-24 04:42:01+00:00,0 days 00:00:57,57
14,ephoch-14,2021-07-24 04:42:02+00:00,0 days 00:00:03,3
15,ephoch-15,2021-07-24 04:42:04+00:00,0 days 00:00:58,58
16,ephoch-16,2021-07-24 04:43:00+00:00,0 days 00:00:57,57
17,ephoch-17,2021-07-24 04:43:01+00:00,0 days 00:00:03,3
18,ephoch-18,2021-07-24 04:43:03+00:00,0 days 00:00:03,3
19,ephoch-19,2021-07-24 04:43:04+00:00,0 days 00:00:57,57
20,ephoch-20,2021-07-24 04:44:00+00:00,0 days 00:00:57,57
