,ephoch-labels,timestamps,deltas,delta-seconds
0,start,2021-07-24 05:34:01+00:00,0 days 00:00:00,0
1,ephoch-1,2021-07-24 05:34:01+00:00,0 days 00:00:02,2
2,ephoch-2,2021-07-24 05:34:03+00:00,0 days 00:00:03,3
3,ephoch-3,2021-07-24 05:34:04+00:00,0 days 00:00:57,57
4,ephoch-4,2021-07-24 05:35:00+00:00,0 days 00:00:57,57
5,ephoch-5,2021-07-24 05:35:01+00:00,0 days 00:00:03,3
6,ephoch-6,2021-07-24 05:35:03+00:00,0 days 00:00:03,3
7,ephoch-7,2021-07-24 05:35:04+00:00,0 days 00:00:57,57
8,ephoch-8,2021-07-24 05:36:00+00:00,0 days 00:00:58,58
9,ephoch-9,2021-07-24 05:36:02+00:00,0 days 00:00:03,3
10,ephoch-10,2021-07-24 05:36:03+00:00,0 days 00:00:03,3
11,ephoch-11,2021-07-24 05:36:05+00:00,0 days 00:00:57,57
12,ephoch-12,2021-07-24 05:37:00+00:00,0 days 00:00:57,57
13,ephoch-13,2021-07-24 05:37:02+00:00,0 days 00:00:03,3
14,ephoch-14,2021-07-24 05:37:03+00:00,0 days 00:00:03,3
15,ephoch-15,2021-07-24 05:37:05+00:00,0 days 00:00:58,58
16,ephoch-16,2021-07-24 05:38:01+00:00,0 days 00:00:57,57
17,ephoch-17,2021-07-24 05:38:02+00:00,0 days 00:00:03,3
18,ephoch-18,2021-07-24 05:38:04+00:00,0 days 00:00:03,3
19,ephoch-19,2021-07-24 05:38:05+00:00,0 days 00:00:57,57
20,ephoch-20,2021-07-24 05:39:01+00:00,0 days 00:00:58,58
