,ephoch-labels,timestamps,deltas,delta-seconds
0,start,2021-07-24 06:34:04+00:00,0 days 00:00:00,0
1,ephoch-1,2021-07-24 06:34:04+00:00,0 days 00:00:56,56
2,ephoch-2,2021-07-24 06:35:00+00:00,0 days 00:00:57,57
3,ephoch-3,2021-07-24 06:35:01+00:00,0 days 00:00:03,3
4,ephoch-4,2021-07-24 06:35:03+00:00,0 days 00:00:03,3
5,ephoch-5,2021-07-24 06:35:04+00:00,0 days 00:00:57,57
6,ephoch-6,2021-07-24 06:36:00+00:00,0 days 00:00:58,58
7,ephoch-7,2021-07-24 06:36:02+00:00,0 days 00:00:03,3
8,ephoch-8,2021-07-24 06:36:03+00:00,0 days 00:00:03,3
9,ephoch-9,2021-07-24 06:36:05+00:00,0 days 00:00:57,57
10,ephoch-10,2021-07-24 06:37:00+00:00,0 days 00:00:57,57
11,ephoch-11,2021-07-24 06:37:02+00:00,0 days 00:00:03,3
12,ephoch-12,2021-07-24 06:37:03+00:00,0 days 00:00:03,3
13,ephoch-13,2021-07-24 06:37:05+00:00,0 days 00:00:58,58
14,ephoch-14,2021-07-24 06:38:01+00:00,0 days 00:00:57,57
15,ephoch-15,2021-07-24 06:38:02+00:00,0 days 00:00:03,3
16,ephoch-16,2021-07-24 06:38:04+00:00,0 days 00:00:03,3
17,ephoch-17,2021-07-24 06:38:05+00:00,0 days 00:00:57,57
18,ephoch-18,2021-07-24 06:39:01+00:00,0 days 00:00:57,57
19,ephoch-19,2021-07-24 06:39:02+00:00,0 days 00:00:03,3
20,ephoch-20,2021-07-24 06:39:04+00:00,0 days 00:00:58,58
