,ephoch-labels,timestamps,deltas,delta-seconds
0,start,2021-07-24 05:24:02+00:00,0 days 00:00:00,0
1,ephoch-1,2021-07-24 05:24:03+00:00,0 days 00:00:02,2
2,ephoch-2,2021-07-24 05:24:04+00:00,0 days 00:00:57,57
3,ephoch-3,2021-07-24 05:25:00+00:00,0 days 00:00:57,57
4,ephoch-4,2021-07-24 05:25:01+00:00,0 days 00:00:03,3
5,ephoch-5,2021-07-24 05:25:03+00:00,0 days 00:00:03,3
6,ephoch-6,2021-07-24 05:25:04+00:00,0 days 00:00:57,57
7,ephoch-7,2021-07-24 05:26:00+00:00,0 days 00:00:57,57
8,ephoch-8,2021-07-24 05:26:01+00:00,0 days 00:00:03,3
9,ephoch-9,2021-07-24 05:26:03+00:00,0 days 00:00:04,4
10,ephoch-10,2021-07-24 05:26:05+00:00,0 days 00:00:57,57
11,ephoch-11,2021-07-24 05:27:00+00:00,0 days 00:00:57,57
12,ephoch-12,2021-07-24 05:27:02+00:00,0 days 00:00:03,3
13,ephoch-13,2021-07-24 05:27:03+00:00,0 days 00:00:03,3
14,ephoch-14,2021-07-24 05:27:05+00:00,0 days 00:00:57,57
15,ephoch-15,2021-07-24 05:28:00+00:00,0 days 00:00:57,57
16,ephoch-16,2021-07-24 05:28:02+00:00,0 days 00:00:03,3
17,ephoch-17,2021-07-24 05:28:03+00:00,0 days 00:00:03,3
18,ephoch-18,2021-07-24 05:28:05+00:00,0 days 00:00:58,58
19,ephoch-19,2021-07-24 05:29:01+00:00,0 days 00:00:57,57
20,ephoch-20,2021-07-24 05:29:02+00:00,0 days 00:00:03,3
