procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 59331276   2088 2334644    0    0    25    19  169  165 10  1 90  0  0 2021-07-24 06:46:18
 0  0      0 59331108   2088 2334648    0    0     0     0  501  844  0  0 100  0  0 2021-07-24 06:46:19
 0  0      0 59331108   2088 2334648    0    0     0     0  460  803  0  0 100  0  0 2021-07-24 06:46:20
 0  0      0 59331108   2088 2334648    0    0     0     0  456  798  0  0 100  0  0 2021-07-24 06:46:21
 0  0      0 59331108   2088 2334648    0    0     0     0  469  816  0  0 100  0  0 2021-07-24 06:46:22
 0  0      0 59331108   2088 2334648    0    0     0     0  476  828  0  0 100  0  0 2021-07-24 06:46:23
 0  0      0 59331108   2088 2334648    0    0     0     0  472  828  0  0 100  0  0 2021-07-24 06:46:24
 0  0      0 59331108   2088 2334648    0    0     0     0  455  792  0  0 100  0  0 2021-07-24 06:46:25
 0  0      0 59330108   2088 2334660    0    0     0     0  813 1141  0  0 100  0  0 2021-07-24 06:46:26
 0  0      0 59330108   2088 2334660    0    0     0     0  481  854  0  0 100  0  0 2021-07-24 06:46:27
 0  0      0 59330108   2088 2334660    0    0     0     0  868  931  0  0 100  0  0 2021-07-24 06:46:28
 0  0      0 59330108   2088 2334660    0    0     0     0  459  798  0  0 100  0  0 2021-07-24 06:46:29
 0  0      0 59330108   2088 2334660    0    0     0     0  479  840  0  0 100  0  0 2021-07-24 06:46:30
 0  0      0 59330108   2088 2334660    0    0     0     0  489  859  0  0 100  0  0 2021-07-24 06:46:31
 0  0      0 59330108   2088 2334660    0    0     0     0  489  856  0  0 100  0  0 2021-07-24 06:46:32
 0  0      0 59330108   2088 2334660    0    0     0     0  548  921  0  0 100  0  0 2021-07-24 06:46:33
 0  0      0 59330108   2088 2334660    0    0     0     0  585  972  0  0 100  0  0 2021-07-24 06:46:34
 0  0      0 59330108   2088 2334660    0    0     0     0  462  818  0  0 100  0  0 2021-07-24 06:46:35
 0  0      0 59330108   2088 2334660    0    0     0     0  483  852  0  0 100  0  0 2021-07-24 06:46:36
 0  0      0 59330108   2088 2334664    0    0     0     0  500  872  0  0 100  0  0 2021-07-24 06:46:37
 0  0      0 59330108   2088 2334664    0    0     0     0  502  870  0  0 100  0  0 2021-07-24 06:46:38
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 59330108   2088 2334664    0    0     0     0  495  868  0  0 100  0  0 2021-07-24 06:46:39
 0  0      0 59330108   2088 2334664    0    0     0     0  474  830  0  0 100  0  0 2021-07-24 06:46:40
 0  0      0 59330108   2088 2334664    0    0     0     0  482  840  0  0 100  0  0 2021-07-24 06:46:41
 0  0      0 59330108   2088 2334664    0    0     0     0  503  880  0  0 100  0  0 2021-07-24 06:46:42
 0  0      0 59330108   2088 2334664    0    0     0     5  535  925  0  0 100  0  0 2021-07-24 06:46:43
 0  0      0 59330100   2088 2334664    0    0     0   212  986 1040  0  0 100  0  0 2021-07-24 06:46:44
 0  0      0 59330232   2088 2334664    0    0     0     0  496  873  0  0 100  0  0 2021-07-24 06:46:45
 0  0      0 59330232   2088 2334668    0    0     0     0  510  886  0  0 100  0  0 2021-07-24 06:46:46
 0  0      0 59330232   2088 2334668    0    0     0     0  480  844  0  0 100  0  0 2021-07-24 06:46:47
 0  0      0 59330232   2088 2334668    0    0     0     0  514  892  0  0 100  0  0 2021-07-24 06:46:48
 0  0      0 59330232   2088 2334668    0    0     0     4  499  864  0  0 100  0  0 2021-07-24 06:46:49
 0  0      0 59330232   2088 2334668    0    0     0     0  496  858  0  0 100  0  0 2021-07-24 06:46:50
 0  0      0 59330232   2088 2334668    0    0     0     0  494  864  0  0 100  0  0 2021-07-24 06:46:51
 0  0      0 59330232   2088 2334672    0    0     0     0  501  873  0  0 100  0  0 2021-07-24 06:46:52
 0  0      0 59330232   2088 2334672    0    0     0     0  509  887  0  0 100  0  0 2021-07-24 06:46:53
 0  0      0 59330232   2088 2334672    0    0     0     0  531  904  0  0 100  0  0 2021-07-24 06:46:54
 2  0      0 59239796   2088 2334684    0    0     0     0 2347 1482 13  6 80  0  0 2021-07-24 06:46:55
 0  0      0 59155164   2088 2334684    0    0     0     0 2587 1826 12  7 80  0  0 2021-07-24 06:46:56
 1  0      0 58733828   2088 2344928    0    0     0     0 2106 1824  6  3 91  0  0 2021-07-24 06:46:57
 1  0      0 58052252   2088 2344928    0    0     0     0  782  920  9  3 87  0  0 2021-07-24 06:46:58
 1  0      0 57349976   2088 2344928    0    0     0    20  759  903  9  4 87  0  0 2021-07-24 06:46:59
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 56734380   2088 2344928    0    0     0     0 1185  985  9  4 87  0  0 2021-07-24 06:47:00
 1  0      0 56610728   2088 2384640    0    0     0     0 5278 2247 14  4 82  0  0 2021-07-24 06:47:01
 1  0      0 56472824   2088 2465028    0    0     0     0 1800 1694 18  2 80  0  0 2021-07-24 06:47:02
 4  0      0 56395760   2088 2540356    0    0     0     0 2487 2195 25  2 74  0  0 2021-07-24 06:47:03
 1  0      0 56317764   2088 2540356    0    0     0     0 1377 1390 17  0 82  0  0 2021-07-24 06:47:04
 1  0      0 56403576   2088 2540356    0    0     0     0 2467 2224 24  1 74  0  0 2021-07-24 06:47:05
 2  0      0 56403824   2088 2540356    0    0     0     0 2463 2035 24  3 73  0  0 2021-07-24 06:47:06
 1  0      0 56395156   2088 2540356    0    0     0     0 2633 2234 25  2 72  0  0 2021-07-24 06:47:07
 4  0      0 56379784   2088 2540356    0    0     0     0 2319 2088 24  1 75  0  0 2021-07-24 06:47:08
 1  0      0 56379540   2088 2540356    0    0     0     0 2357 2093 23  2 75  0  0 2021-07-24 06:47:09
 4  0      0 56379668   2088 2540368    0    0     0     0 2578 2298 25  1 73  0  0 2021-07-24 06:47:10
 4  0      0 56375704   2088 2540368    0    0     0     0 2300 2031 23  2 75  0  0 2021-07-24 06:47:11
 4  0      0 56365044   2088 2540368    0    0     0     0 2331 2025 24  2 74  0  0 2021-07-24 06:47:12
 1  0      0 56364680   2088 2540368    0    0     0     0 2556 2225 24  2 74  0  0 2021-07-24 06:47:13
 4  0      0 56346140   2088 2540368    0    0     0    48 2364 2076 24  1 74  0  0 2021-07-24 06:47:14
 4  0      0 56347256   2088 2540368    0    0     0     0 2548 2275 26  2 73  0  0 2021-07-24 06:47:15
 2  0      0 56363868   2088 2540376    0    0     0     0 2073 1779 17  1 82  0  0 2021-07-24 06:47:16
 1  0      0 56347256   2088 2540376    0    0     0     0 1628 1666 17  0 82  0  0 2021-07-24 06:47:17
 1  0      0 56346764   2088 2540376    0    0     0     0 2089 1921 22  1 76  0  0 2021-07-24 06:47:18
 4  0      0 56344992   2088 2540380    0    0    12     0 2567 2208 24  1 75  0  0 2021-07-24 06:47:19
 4  0      0 56395476   2088 2540400    0    0     0    21 2055 1825 20  1 78  0  0 2021-07-24 06:47:20
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0 56379984   2088 2540400    0    0     0     0 2452 2266 23  2 75  0  0 2021-07-24 06:47:21
 4  0      0 56379244   2088 2540400    0    0     0     0 2604 2222 25  3 72  0  0 2021-07-24 06:47:22
 1  0      0 56379248   2088 2540400    0    0     0     0 2402 2118 24  2 74  0  0 2021-07-24 06:47:23
 1  0      0 56379376   2088 2540408    0    0     0     0 2446 2176 25  1 74  0  0 2021-07-24 06:47:24
 2  0      0 56379128   2088 2540408    0    0     0   228 2376 2056 23  3 74  0  0 2021-07-24 06:47:25
 1  0      0 56378640   2088 2540408    0    0     0     0 2578 2219 25  2 73  0  0 2021-07-24 06:47:26
 1  0      0 56352356   2088 2540408    0    0     0     0 2031 1844 21  2 77  0  0 2021-07-24 06:47:27
 1  0      0 56347652   2088 2540408    0    0     0     0 2636 2351 25  2 74  0  0 2021-07-24 06:47:28
 1  0      0 56348144   2088 2540412    0    0     0     0 2370 2203 23  2 75  0  0 2021-07-24 06:47:29
 4  0      0 56347900   2088 2540412    0    0     0    32 2252 2062 24  1 75  0  0 2021-07-24 06:47:30
 1  0      0 56347528   2088 2540420    0    0     0     0 2249 2108 23  1 76  0  0 2021-07-24 06:47:31
 1  0      0 56363152   2088 2540420    0    0     0     0 1818 1769 19  1 80  0  0 2021-07-24 06:47:32
 4  0      0 56346660   2088 2540420    0    0     0     0 1929 1633 18  0 82  0  0 2021-07-24 06:47:33
 2  0      0 56345796   2088 2540420    0    0     0     0 2337 2056 24  2 74  0  0 2021-07-24 06:47:34
 1  0      0 56346048   2088 2540420    0    0     0     0 1687 1673 19  0 81  0  0 2021-07-24 06:47:35
 1  0      0 56395156   2088 2540420    0    0     0     0 2267 2089 23  1 76  0  0 2021-07-24 06:47:36
