procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 59603984  81400 2717912    0    0    69   196  488   96  7  3 90  0  0 2021-07-25 04:08:17
 0  0      0 59603984  81400 2717912    0    0     0     0  374  662  0  0 100  0  0 2021-07-25 04:08:18
 0  0      0 59603984  81400 2717912    0    0     0     0  410  718  0  0 100  0  0 2021-07-25 04:08:19
 0  0      0 59603944  81408 2717916    0    0     0    48  621 1002  1  0 100  0  0 2021-07-25 04:08:20
 0  0      0 59603944  81408 2717916    0    0     0     0  374  686  0  0 100  0  0 2021-07-25 04:08:21
 0  0      0 59603944  81408 2717916    0    0     0     0  353  651  0  0 100  0  0 2021-07-25 04:08:22
 0  0      0 59603944  81408 2717916    0    0     0     0  371  678  0  0 100  0  0 2021-07-25 04:08:23
 0  0      0 59603944  81408 2717916    0    0     0     0  361  654  0  0 100  0  0 2021-07-25 04:08:24
 0  0      0 59603944  81408 2717916    0    0     0     0  383  683  0  0 100  0  0 2021-07-25 04:08:25
 0  0      0 59603944  81408 2717916    0    0     0     0  355  662  0  0 100  0  0 2021-07-25 04:08:26
 0  0      0 59603944  81408 2717916    0    0     0     0  372  674  0  0 100  0  0 2021-07-25 04:08:27
 0  0      0 59603944  81408 2717916    0    0     0     0  371  656  0  0 100  0  0 2021-07-25 04:08:28
 0  0      0 59603944  81408 2717916    0    0     0     0  377  668  0  0 100  0  0 2021-07-25 04:08:29
 0  0      0 59603432  81408 2717916    0    0     0     0  562  820  0  0 100  0  0 2021-07-25 04:08:30
 0  0      0 59603432  81408 2717916    0    0     0     0  396  716  0  0 100  0  0 2021-07-25 04:08:31
 0  0      0 59602612  81408 2717940    0    0     0     0  392  707  0  0 100  0  0 2021-07-25 04:08:32
 0  0      0 59602612  81408 2717940    0    0     0     0  395  723  0  0 100  0  0 2021-07-25 04:08:33
 0  0      0 59602612  81408 2717940    0    0     0     0  385  702  0  0 100  0  0 2021-07-25 04:08:34
 0  0      0 59602612  81408 2717940    0    0     0     0  416  748  0  0 100  0  0 2021-07-25 04:08:35
 0  0      0 59602612  81408 2717940    0    0     0     0  384  704  0  0 100  0  0 2021-07-25 04:08:36
 0  0      0 59602612  81408 2717940    0    0     0     0  385  708  0  0 100  0  0 2021-07-25 04:08:37
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 59602612  81408 2717940    0    0     0     0  379  688  0  0 100  0  0 2021-07-25 04:08:38
