procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 59334812   2088 2331668    0    0    35    24  167  164  9  1 90  0  0 2021-07-24 06:01:05
 0  0      0 59334812   2088 2331668    0    0     0     0  522  874  0  0 100  0  0 2021-07-24 06:01:06
 0  0      0 59334680   2088 2331672    0    0     0     0  484  829  0  0 100  0  0 2021-07-24 06:01:07
 0  0      0 59333780   2088 2331672    0    0     0     0  617  930  0  0 100  0  0 2021-07-24 06:01:08
 0  0      0 59333296   2088 2331672    0    0     0    49  572  929  0  0 100  0  0 2021-07-24 06:01:09
 0  0      0 59334880   2088 2331672    0    0     0     0  719 1022  0  0 100  0  0 2021-07-24 06:01:10
 0  0      0 59334932   2088 2331676    0    0     0     0  857  918  0  0 100  0  0 2021-07-24 06:01:11
 0  0      0 59334932   2088 2331676    0    0     0     0  519  897  0  0 100  0  0 2021-07-24 06:01:12
 0  0      0 59334932   2088 2331676    0    0     0     0  595  957  0  0 100  0  0 2021-07-24 06:01:13
 0  0      0 59333268   2088 2331684    0    0     0     0  802 1102  0  0 100  0  0 2021-07-24 06:01:14
 0  0      0 59334928   2088 2331684    0    0     0    25  746 1038  0  0 100  0  0 2021-07-24 06:01:15
 0  0      0 59334928   2088 2331688    0    0     0     0  520  908  0  0 100  0  0 2021-07-24 06:01:16
 0  0      0 59335184   2088 2331688    0    0     0   640  628  937  0  0 100  0  0 2021-07-24 06:01:17
 0  0      0 59334960   2088 2331688    0    0     0     0  550  963  0  0 100  0  0 2021-07-24 06:01:18
 0  0      0 59333176   2088 2331688    0    0     0     0  616  938  0  0 100  0  0 2021-07-24 06:01:19
 0  0      0 59333176   2088 2331692    0    0     0     0  608  978  0  0 100  0  0 2021-07-24 06:01:20
 0  0      0 59334688   2088 2331700    0    0     0     0  716 1024  0  0 100  0  0 2021-07-24 06:01:21
 0  0      0 59334840   2088 2331700    0    0     0     0  613 1002  0  0 100  0  0 2021-07-24 06:01:22
 0  0      0 59334840   2088 2331700    0    0     0     0  536  937  0  0 100  0  0 2021-07-24 06:01:23
 0  0      0 59334840   2088 2331700    0    0     0     0  490  875  0  0 100  0  0 2021-07-24 06:01:24
 0  0      0 59332936   2088 2331700    0    0     0     0  667  996  0  0 100  0  0 2021-07-24 06:01:25
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 59335044   2088 2331704    0    0     0     0  712 1021  0  0 100  0  0 2021-07-24 06:01:26
 0  0      0 59335216   2088 2331708    0    0     0    20  911  977  0  0 100  0  0 2021-07-24 06:01:27
 0  0      0 59335216   2088 2331708    0    0     0     0  546  940  0  0 100  0  0 2021-07-24 06:01:28
 0  0      0 59335216   2088 2331708    0    0     0     0  507  898  0  0 100  0  0 2021-07-24 06:01:29
 0  0      0 59333712   2088 2331708    0    0     0     0  659  996  0  0 100  0  0 2021-07-24 06:01:30
 0  0      0 59334036   2088 2331716    0    0     0     0  625  969  0  0 100  0  0 2021-07-24 06:01:31
 0  0      0 59334360   2088 2331716    0    0     0     8  603  943  0  0 100  0  0 2021-07-24 06:01:32
