procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 56430176  81664 2920684    0    0     0     0 15685 2244 23 10 68  0  0 2021-07-25 04:19:46
 4  0      0 56432272  81664 2920684    0    0     0     0 13293 3253 27  5 67  0  0 2021-07-25 04:19:47
 2  0      0 56432420  81664 2920684    0    0     0     0 13191 3023 24  7 68  0  0 2021-07-25 04:19:48
 2  0      0 56457644  81664 2920684    0    0     0     0 12656 2947 21  8 71  0  0 2021-07-25 04:19:49
 1  0      0 56461836  81664 2920684    0    0     0     0 10549 3193 23  5 72  0  0 2021-07-25 04:19:50
 2  0      0 56455548  81664 2920684    0    0     0     0 12239 2672 18  7 75  0  0 2021-07-25 04:19:51
 2  0      0 56459064  81664 2920684    0    0     0     0 14735 3052 26  7 67  0  0 2021-07-25 04:19:52
 2  0      0 56456928  81664 2920684    0    0     0     0 14536 2766 22  7 71  0  0 2021-07-25 04:19:53
 2  0      0 56453504  81672 2920676    0    0     0    68 12303 1747 21  9 70  0  0 2021-07-25 04:19:54
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0 56443700  81672 2920684    0    0     0     0 12245 2667 24  7 70  0  0 2021-07-25 04:19:55
 1  0      0 56459736  81672 2920684    0    0     0   204 15050 2755 23  6 71  0  0 2021-07-25 04:19:56
 2  0      0 56459924  81672 2920684    0    0     0     0 15938 2452 21  7 72  0  0 2021-07-25 04:19:57
 2  0      0 56443740  81672 2920688    0    0     0     0 12605 2882 23  7 70  0  0 2021-07-25 04:19:58
 5  0      0 56465832  81672 2920688    0    0     0     0 7031 2573 24  5 71  0  0 2021-07-25 04:19:59
 5  0      0 56447096  81672 2920688    0    0     0     0 14186 2731 25  8 67  0  0 2021-07-25 04:20:00
 5  0      0 56447128  81672 2920688    0    0     0     0 5008 2126 38  5 57  0  0 2021-07-25 04:20:01
 5  0      0 56445364  81672 2920688    0    0     0     0 4399 1794 29  7 65  0  0 2021-07-25 04:20:02
 2  0      0 56438056  81672 2920692    0    0     0     0 4569 1813 32  6 62  0  0 2021-07-25 04:20:03
 1  0      0 56335840  81672 3014436    0    0     0     0 7071 1702 27  7 66  0  0 2021-07-25 04:20:04
 5  0      0 56336252  81672 3014540    0    0     0     0 14575 2733 26  8 65  0  0 2021-07-25 04:20:05
 3  0      0 56336516  81672 3014540    0    0     0     0 16888 2524 27  8 65  0  0 2021-07-25 04:20:06
 2  0      0 56366360  81672 3014540    0    0     0     0 11518 2812 21  6 73  0  0 2021-07-25 04:20:07
 1  0      0 56364588  81672 3014540    0    0     0     0 12550 2470 21  9 70  0  0 2021-07-25 04:20:08
 2  0      0 56357500  81672 3014540    0    0     0     0 13958 2549 22  9 69  0  0 2021-07-25 04:20:09
 2  0      0 56357128  81672 3014540    0    0     0     0 14225 2577 24  6 70  0  0 2021-07-25 04:20:10
 2  0      0 56364584  81672 3014540    0    0     0     0 13192 3101 24  7 69  0  0 2021-07-25 04:20:11
 2  0      0 56361540  81672 3014540    0    0     0     0 16360 2939 23  7 70  0  0 2021-07-25 04:20:12
 2  0      0 56365628  81672 3014540    0    0     0     0 8965 2216 19  9 72  0  0 2021-07-25 04:20:13
 2  0      0 56364800  81672 3014540    0    0     0     0 15677 2593 25  8 67  0  0 2021-07-25 04:20:14
 5  0      0 56350520  81672 3014540    0    0     0     0 14988 1923 26  8 66  0  0 2021-07-25 04:20:15
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 56351068  81672 3014540    0    0     0 91424 12231 2889 29  8 62  1  0 2021-07-25 04:20:16
 2  0      0 56318116  81672 3014540    0    0     0     0 7028 1564 23  8 70  0  0 2021-07-25 04:20:17
 2  0      0 56355732  81672 3014540    0    0     0     0 9081 2102 25  8 67  0  0 2021-07-25 04:20:18
 2  0      0 56326504  81672 3014540    0    0     0     0 7583 2437 25  8 67  0  0 2021-07-25 04:20:19
 2  0      0 56325876  81672 3014540    0    0     0     0 7617 2539 22  7 71  0  0 2021-07-25 04:20:20
 2  0      0 56326216  81672 3014540    0    0     0     0 9051 1865 25  9 67  0  0 2021-07-25 04:20:21
 2  0      0 56326140  81672 3014540    0    0     0     0 9515 2311 29  8 63  0  0 2021-07-25 04:20:22
 5  0      0 56326156  81672 3014540    0    0     0     0 6483 2956 28  5 67  0  0 2021-07-25 04:20:23
 2  0      0 56353372  81672 3014540    0    0     0     0 4685 1868 33  6 60  0  0 2021-07-25 04:20:24
 5  0      0 56353120  81680 3014540    0    0     0    44 4688 1903 33  6 61  0  0 2021-07-25 04:20:25
 2  0      0 56305444  81680 3056652    0    0     0     0 4233 1551 27  6 67  0  0 2021-07-25 04:20:26
 4  0      0 56253808  81680 3108456    0    0     0     8 13009 2857 27  8 66  0  0 2021-07-25 04:20:27
 3  0      0 56271108  81680 3108456    0    0     0     0 10882 2516 21  7 72  0  0 2021-07-25 04:20:28
 6  0      0 56271628  81680 3108456    0    0     0     0 8581 1447 20 11 69  0  0 2021-07-25 04:20:29
 2  0      0 56271360  81680 3108456    0    0     0     0 8980 2366 24  6 69  0  0 2021-07-25 04:20:30
 4  0      0 56258136  81680 3108456    0    0     0     0 11916 2649 21  7 72  0  0 2021-07-25 04:20:31
 2  0      0 56257980  81680 3108456    0    0     0     8 12919 2834 23  8 68  0  0 2021-07-25 04:20:32
 5  0      0 56255556  81680 3108456    0    0     0     0 13075 2587 27  8 65  0  0 2021-07-25 04:20:33
 5  0      0 56255588  81680 3108456    0    0     0     0 14024 2596 23  9 68  0  0 2021-07-25 04:20:34
 3  0      0 56269364  81680 3108456    0    0     0     0 12586 2140 26  8 66  0  0 2021-07-25 04:20:35
 3  0      0 56260564  81680 3108456    0    0     0     0 10047 2410 25  6 69  0  0 2021-07-25 04:20:36
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 56227964  81684 3108464    0    0     0 91424 13919 3117 23  8 68  1  0 2021-07-25 04:20:37
 2  0      0 56264820  81684 3108468    0    0     0     0 14326 2479 24 10 66  0  0 2021-07-25 04:20:38
 5  0      0 56267020  81684 3108468    0    0     0     0 10538 3117 22  7 70  0  0 2021-07-25 04:20:39
 5  0      0 56267492  81684 3108468    0    0     0     0 14301 2130 25  8 67  0  0 2021-07-25 04:20:40
 4  0      0 56267692  81684 3108468    0    0     0     0 12903 2337 28  8 64  0  0 2021-07-25 04:20:41
 1  0      0 56259096  81684 3108468    0    0     0     0 12873 2660 24  8 68  0  0 2021-07-25 04:20:42
 2  0      0 56257604  81684 3108468    0    0     0     0 10087 2741 24  5 71  0  0 2021-07-25 04:20:43
 1  0      0 56252240  81684 3108468    0    0     0     0 12840 2640 26  6 68  0  0 2021-07-25 04:20:44
 4  0      0 56252240  81684 3108468    0    0     0     0 5659 3974 33  3 63  0  0 2021-07-25 04:20:45
 2  0      0 56256020  81684 3108468    0    0     0     0 4418 1848 30  6 64  0  0 2021-07-25 04:20:46
 2  0      0 56255768  81684 3108468    0    0     0     0 4604 1836 33  6 61  0  0 2021-07-25 04:20:47
 2  0      0 56195044  81684 3202224    0    0     0     0 3955 1299 25  5 69  0  0 2021-07-25 04:20:48
 5  0      0 56141448  81684 3202444    0    0     0     0 6592 1307 23  7 70  0  0 2021-07-25 04:20:49
 2  0      0 56141816  81684 3202444    0    0     0     0 13751 2491 28  7 65  0  0 2021-07-25 04:20:50
 3  0      0 56142196  81684 3202444    0    0     0     0 14635 2000 26  9 66  0  0 2021-07-25 04:20:51
 1  0      0 56176536  81684 3202444    0    0     0     0 11241 2893 20  5 74  0  0 2021-07-25 04:20:52
 3  0      0 56163440  81684 3202444    0    0     0     0 13725 2926 23  7 69  0  0 2021-07-25 04:20:53
 2  0      0 56163400  81684 3202444    0    0     0     0 14465 2923 26  8 65  0  0 2021-07-25 04:20:54
 1  0      0 56147364  81684 3202444    0    0     0     0 11646 2978 24  7 69  0  0 2021-07-25 04:20:55
 2  0      0 56146232  81692 3202444    0    0     0    60 9767 3423 23  6 71  0  0 2021-07-25 04:20:56
 5  0      0 56147540  81692 3202444    0    0     0     0 15107 3026 26  7 67  0  0 2021-07-25 04:20:57
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 56144064  81696 3202452    0    0     0 91480 11360 3539 24  7 68  0  0 2021-07-25 04:20:58
 5  0      0 56147564  81696 3202452    0    0     0     0 8195 2504 23  8 69  0  0 2021-07-25 04:20:59
 2  0      0 56147328  81696 3202452    0    0     0     0 9084 2328 25  7 68  0  0 2021-07-25 04:21:00
 2  0      0 56172892  81696 3202452    0    0     0     0 8446 2049 21  6 73  0  0 2021-07-25 04:21:01
 5  0      0 56172476  81696 3202452    0    0     0     0 13027 2791 29  7 64  0  0 2021-07-25 04:21:02
 5  0      0 56179704  81696 3202452    0    0     0     0 12422 1970 25  9 66  0  0 2021-07-25 04:21:03
 2  0      0 56177284  81696 3202452    0    0     0     0 10221 2598 26  8 66  0  0 2021-07-25 04:21:04
 2  0      0 56136208  81696 3202452    0    0     0     0 14396 2006 25  9 66  0  0 2021-07-25 04:21:05
 5  0      0 56139680  81696 3202456    0    0     0     0 5989 2992 32  5 63  0  0 2021-07-25 04:21:06
 5  0      0 56166644  81696 3202456    0    0     0     0 4637 1898 34  5 61  0  0 2021-07-25 04:21:07
 5  0      0 56166644  81696 3202456    0    0     0     0 4602 1828 32  7 61  0  0 2021-07-25 04:21:08
 5  0      0 56056816  81696 3296200    0    0     0     0 4057 1392 26  7 67  0  0 2021-07-25 04:21:09
 2  0      0 56086816  81696 3296432    0    0     0     0 8111 1539 24  8 68  0  0 2021-07-25 04:21:10
 2  0      0 56084436  81696 3296432    0    0     0     0 13977 2932 22  8 71  0  0 2021-07-25 04:21:11
 5  0      0 56043888  81696 3296432    0    0     0     0 13993 2633 24  7 69  0  0 2021-07-25 04:21:12
 2  0      0 56083128  81696 3296432    0    0     0     0 10534 3003 19  6 75  0  0 2021-07-25 04:21:13
