procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 59339904   2088 2330476    0    0    47    28  156  155  8  1 91  0  0 2021-07-24 05:33:31
 0  0      0 59339400   2088 2330480    0    0     0     0  604 1001  0  0 100  0  0 2021-07-24 05:33:32
 0  0      0 59339400   2088 2330480    0    0     0     0  467  836  0  0 100  0  0 2021-07-24 05:33:33
 0  0      0 59339400   2088 2330480    0    0     0     0  508  897  0  0 100  0  0 2021-07-24 05:33:34
 0  0      0 59339400   2088 2330480    0    0     0     0  472  837  0  0 100  0  0 2021-07-24 05:33:35
 0  0      0 59339400   2088 2330480    0    0     0     0  492  832  0  0 100  0  0 2021-07-24 05:33:36
 0  0      0 59339400   2088 2330480    0    0     0     0  476  846  0  0 100  0  0 2021-07-24 05:33:37
 0  0      0 59339400   2088 2330480    0    0     0     0  517  910  0  0 100  0  0 2021-07-24 05:33:38
 0  0      0 59339400   2088 2330480    0    0     0     0  468  831  0  0 100  0  0 2021-07-24 05:33:39
 0  0      0 59338152   2088 2330488    0    0     0     0  798 1155  0  0 100  0  0 2021-07-24 05:33:40
 0  0      0 59338152   2088 2330488    0    0     0     0  485  866  0  0 100  0  0 2021-07-24 05:33:41
 0  0      0 59338152   2088 2330488    0    0     0     0  489  889  0  0 100  0  0 2021-07-24 05:33:42
 0  0      0 59338152   2088 2330488    0    0     0     0  511  912  0  0 100  0  0 2021-07-24 05:33:43
 0  0      0 59338152   2088 2330488    0    0     0     0  861  910  0  0 100  0  0 2021-07-24 05:33:44
 0  0      0 59338152   2088 2330488    0    0     0     0  498  884  0  0 100  0  0 2021-07-24 05:33:45
 0  0      0 59338152   2088 2330488    0    0     0     0  534  949  0  0 100  0  0 2021-07-24 05:33:46
 0  0      0 59338152   2088 2330488    0    0     0     0  506  895  0  0 100  0  0 2021-07-24 05:33:47
 0  0      0 59338152   2088 2330488    0    0     0     0  522  918  0  0 100  0  0 2021-07-24 05:33:48
 0  0      0 59338152   2088 2330488    0    0     0     0  500  899  0  0 100  0  0 2021-07-24 05:33:49
 0  0      0 59338152   2088 2330488    0    0     0     0  522  920  0  0 100  0  0 2021-07-24 05:33:50
 0  0      0 59338152   2088 2330488    0    0     0     0  499  893  0  0 100  0  0 2021-07-24 05:33:51
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 59338152   2088 2330488    0    0     0     0  501  884  0  0 100  0  0 2021-07-24 05:33:52
 0  0      0 59338152   2088 2330488    0    0     0     0  556  934  0  0 100  0  0 2021-07-24 05:33:53
 0  0      0 59338152   2088 2330488    0    0     0     0  560  961  0  0 100  0  0 2021-07-24 05:33:54
 0  0      0 59338048   2088 2330488    0    0     0   224  531  889  0  0 100  0  0 2021-07-24 05:33:55
 0  0      0 59338048   2088 2330488    0    0     0     0  506  897  0  0 100  0  0 2021-07-24 05:33:56
 0  0      0 59338048   2088 2330488    0    0     0     0  514  910  0  0 100  0  0 2021-07-24 05:33:57
 0  0      0 59338048   2088 2330488    0    0     0     0  518  912  0  0 100  0  0 2021-07-24 05:33:58
 0  0      0 59338048   2088 2330488    0    0     0     0  491  888  0  0 100  0  0 2021-07-24 05:33:59
 0  0      0 59338048   2088 2330488    0    0     0     0  821  864  0  0 100  0  0 2021-07-24 05:34:00
 0  0      0 59338048   2088 2330488    0    0     0    20  530  931  0  0 100  0  0 2021-07-24 05:34:01
 0  0      0 59338048   2088 2330488    0    0     0     0  530  946  0  0 100  0  0 2021-07-24 05:34:02
 0  0      0 59338048   2088 2330488    0    0     0     0  511  924  0  0 100  0  0 2021-07-24 05:34:03
 0  0      0 59338048   2088 2330488    0    0     0     0  494  898  0  0 100  0  0 2021-07-24 05:34:04
 0  0      0 59338048   2088 2330488    0    0     0     4  501  887  0  0 100  0  0 2021-07-24 05:34:05
 0  0      0 59338048   2088 2330488    0    0     0     0  514  900  0  0 100  0  0 2021-07-24 05:34:06
 0  0      0 59338048   2088 2330492    0    0     0     0  525  900  0  0 100  0  0 2021-07-24 05:34:07
 0  0      0 59338048   2088 2330492    0    0     0     0  522  926  0  0 100  0  0 2021-07-24 05:34:08
 1  0      0 59300832   2088 2330492    0    0     0     0  771 1138  3  0 97  0  0 2021-07-24 05:34:09
 1  0      0 59181620   2088 2330504    0    0     0     4 3134 1414 21 13 67  0  0 2021-07-24 05:34:10
 1  0      0 58931992   2088 2340748    0    0     0     0 2223 2043  6  3 91  0  0 2021-07-24 05:34:11
 1  0      0 58230100   2088 2340748    0    0     0     0  775  930  9  4 87  0  0 2021-07-24 05:34:12
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 57588944   2088 2340748    0    0     0     0  788  949  9  4 88  0  0 2021-07-24 05:34:13
 1  0      0 56924008   2088 2340748    0    0     0     0  821  965  9  4 87  0  0 2021-07-24 05:34:14
 1  0      0 56617960   2088 2380288    0    0     0     8 5499 2450 14  3 83  0  0 2021-07-24 05:34:15
 1  0      0 56551172   2088 2380508    0    0     0     0 1772 1441 17  1 82  0  0 2021-07-24 05:34:16
 4  0      0 56463024   2088 2460896    0    0     0     0 2218 2089 21  1 78  0  0 2021-07-24 05:34:17
 4  0      0 56385880   2088 2536304    0    0     0     0 2136 2006 20  2 78  0  0 2021-07-24 05:34:18
 1  0      0 56397540   2088 2536304    0    0     0     0 1858 1777 18  2 80  0  0 2021-07-24 05:34:19
 1  0      0 56397668   2088 2536304    0    0     0     0 2762 2423 28  1 71  0  0 2021-07-24 05:34:20
 2  0      0 56397424   2088 2536304    0    0     0     0 2594 2157 25  4 71  0  0 2021-07-24 05:34:21
 3  0      0 56381928   2088 2536304    0    0     0     0 2126 1925 24  2 75  0  0 2021-07-24 05:34:22
 1  0      0 56381440   2088 2536304    0    0     0     0 2476 2186 24  3 73  0  0 2021-07-24 05:34:23
 1  0      0 56381412   2088 2536316    0    0     0     0 2393 2257 25  1 73  0  0 2021-07-24 05:34:24
 4  0      0 56368520   2088 2536316    0    0     0     0 2312 2101 23  2 75  0  0 2021-07-24 05:34:25
 1  0      0 56397528   2088 2536316    0    0     0     0 2129 1961 23  2 76  0  0 2021-07-24 05:34:26
 1  0      0 56398044   2088 2536316    0    0     0     0 2598 2404 25  2 73  0  0 2021-07-24 05:34:27
 1  0      0 56366548   2088 2536316    0    0     0     0 2367 2287 24  1 75  0  0 2021-07-24 05:34:28
 4  0      0 56348816   2088 2536316    0    0     0     0 2181 2061 25  1 74  0  0 2021-07-24 05:34:29
 1  0      0 56393036   2088 2536324    0    0     0     0 1795 1842 18  1 81  0  0 2021-07-24 05:34:30
 4  0      0 56396336   2088 2536328    0    0     0     0 1907 1879 20  1 79  0  0 2021-07-24 05:34:31
 1  0      0 56364440   2088 2536328    0    0     0    64 2198 1861 19  1 79  0  0 2021-07-24 05:34:32
 4  0      0 56363316   2088 2536344    0    0     0     0 2442 2378 23  1 76  0  0 2021-07-24 05:34:33
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 56339968   2088 2536344    0    0     0     0 1272 1364 16  0 83  0  0 2021-07-24 05:34:34
 3  0      0 56359844   2088 2536344    0    0     0     0 2457 2278 24  2 73  0  0 2021-07-24 05:34:35
 2  0      0 56359980   2088 2536344    0    0     0     0 2509 2128 23  4 72  0  0 2021-07-24 05:34:36
 1  0      0 56360232   2088 2536344    0    0     0     0 2535 2257 25  2 73  0  0 2021-07-24 05:34:37
 1  0      0 56360360   2088 2536344    0    0     0     0 2220 2093 23  2 76  0  0 2021-07-24 05:34:38
 4  0      0 56357264   2088 2536352    0    0     0     0 2379 2151 25  2 74  0  0 2021-07-24 05:34:39
 1  0      0 56357268   2088 2536352    0    0     0     0 2339 2251 24  1 75  0  0 2021-07-24 05:34:40
 1  0      0 56357396   2088 2536352    0    0     0     8 2255 2051 23  2 75  0  0 2021-07-24 05:34:41
 1  0      0 56391872   2088 2536356    0    0     0     0 2180 2044 22  2 76  0  0 2021-07-24 05:34:42
 1  0      0 56381588   2088 2536356    0    0     0     0 2492 2329 24  2 75  0  0 2021-07-24 05:34:43
 1  0      0 56338188   2088 2536356    0    0     0     0 2127 2064 23  1 76  0  0 2021-07-24 05:34:44
 1  0      0 56337196   2088 2536364    0    0     0     0 2510 2287 27  1 72  0  0 2021-07-24 05:34:45
